In which educational level are you enrolled? - Selected Choice,What is your student status?,Indicate the extent to which each of the following six statements describes you. - I think food waste is a problem in the United States.,Indicate the extent to which each of the following six statements describes you. - I often think about how much food I waste.,Indicate the extent to which each of the following six statements describes you. - I think Villanova University wastes a lot of food in dining halls.,Indicate the extent to which each of the following six statements describes you. - I think food waste is a problem at Villanova.,Indicate the extent to which each of the following six statements describes you. - I waste a lot of food each week.,"Indicate the extent to which each of the following six statements describes you. - When I (or my family) cook, I make more than needed and end up throwing away leftovers.",Indicate the extent to which each of the following six statements describes you. - My peers and I throw away about half or more of the portions we take from campus dining halls.,Indicate the extent to which each of the following six statements describes you. - The portion sizes at Villanova dining halls are larger than most students end up eating.,"How interested would you be in joining an on-campus food donation organization?

This organization would aim to reduce food waste in the dining halls on campus by rescuing untouched, healthy, perfectly edible food for donation to those in need in the Greater Philadelphia region, rather than throwing leftovers in the trash.",How often would you be willing to volunteer to support a food rescue and donation program on campus? (1-hour sessions),"Would you be more willing to volunteer if it fulfilled a service requirement for a club or organization you are a part of? (e.g. Greek Life, Athletics, etc.)"
Undergraduate,Full-Time,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Interested,Once per Semester,Yes
Undergraduate,Full-Time,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Interested,Once per Week,Yes
Undergraduate,Full-Time,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Interested,Once per Week,Yes
Undergraduate,Full-Time,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat Interested,Once per Month,Yes
Undergraduate,Full-Time,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Not interested,Not at All,Unsure
Undergraduate,Full-Time,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Not interested,Not at All,Yes
Undergraduate,Full-Time,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat Interested,Once per Month,No
Undergraduate,Full-Time,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat Interested,Once per Semester,No
Undergraduate,Full-Time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Interested,Once per Week,Unsure
Undergraduate,Full-Time,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Not interested,Not at All,No
Undergraduate,Full-Time,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Interested,2-3 Times per Month,Yes
Undergraduate,Full-Time,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat Interested,Once per Month,Yes
Undergraduate,Full-Time,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Not interested,Not at All,No
Undergraduate,Full-Time,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Interested,Once per Month,Yes
Undergraduate,Full-Time,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Not interested,Not at All,Yes
Undergraduate,Full-Time,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Not interested,Not at All,No
Undergraduate,Full-Time,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Very Interested,2-3 Times per Month,Yes
Undergraduate,Full-Time,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Not interested,Once per Semester,Yes
Undergraduate,Full-Time,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat Interested,Once per Month,No
Undergraduate,Full-Time,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat Interested,Once per Month,Unsure
Undergraduate,Full-Time,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Very Interested,Once per Week,Unsure
Undergraduate,Full-Time,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Interested,Once per Week,Unsure
Graduate,Part-Time,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Not interested,Not at All,No
Graduate,Full-Time,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Not interested,Not at All,No
Graduate,Part-Time,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Not interested,Once per Semester,Unsure
Graduate,Full-Time,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Not interested,Once per Semester,Yes
Undergraduate,Full-Time,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Very Interested,Once per Week,Yes
Undergraduate,Full-Time,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Interested,Once per Week,Yes
Undergraduate,Full-Time,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Interested,Once per Month,Yes
Undergraduate,Full-Time,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Not interested,2-3 Times per Month,Yes
Undergraduate,Full-Time,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Interested,Multiple Times per Week,Yes
Undergraduate,Full-Time,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat Interested,Once per Month,Yes
Undergraduate,Full-Time,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat Interested,Once per Month,Unsure
Undergraduate,Full-Time,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Interested,Once per Week,Yes
Undergraduate,Full-Time,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Not interested,Not at All,No
Undergraduate,Full-Time,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Interested,2-3 Times per Month,Yes
Undergraduate,Full-Time,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Not interested,Once per Semester,Yes
Undergraduate,Full-Time,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat Interested,2-3 Times per Month,Unsure
Graduate,Part-Time,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat Interested,Once per Semester,Yes
Undergraduate,Full-Time,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Interested,2-3 Times per Month,No
Undergraduate,Full-Time,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Interested,Once per Month,Yes
Undergraduate,Full-Time,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Very Interested,Once per Week,Yes
Graduate,Part-Time,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Not interested,Not at All,Unsure
Graduate,Part-Time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Not interested,Not at All,Unsure
Graduate,Part-Time,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat Interested,Not at All,Yes
Graduate,Part-Time,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Not interested,Not at All,Yes
Graduate,Part-Time,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Interested,Once per Semester,Yes
Graduate,Part-Time,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat Interested,Once per Month,Yes
Graduate,Part-Time,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Not interested,Not at All,No
Graduate,Part-Time,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat Interested,Once per Semester,Yes
Graduate,Part-Time,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Very Interested,Once per Month,Yes
Graduate,Part-Time,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Not interested,Once per Semester,Yes
Graduate,Part-Time,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Interested,2-3 Times per Month,Yes
Graduate,Full-Time,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat Interested,2-3 Times per Month,Yes
Graduate,Part-Time,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Not interested,Not at All,Yes
